date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2018-09-24,299.68,302.9993,293.58,298.48,4842961,299.68,302.9993,293.58,298.48,4842961,0.0,1.0,0
2018-09-25,300.99,304.6,296.5,300.0,4481729,300.99,304.6,296.5,300.0,4481729,0.0,1.0,0
2018-09-26,309.58,313.89,301.1093,301.91,7843216,309.58,313.89,301.1093,301.91,7843216,0.0,1.0,0
2018-09-27,307.52,314.96,306.91,312.9,8509084,307.52,314.96,306.91,312.9,8509084,0.0,1.0,0
2018-09-28,264.77,278.0,260.56,270.26,33649700,264.77,278.0,260.56,270.26,33649700,0.0,1.0,0
2018-10-01,310.7,311.44,301.05,305.77,21777597,310.7,311.44,301.05,305.77,21777597,0.0,1.0,0
2018-10-02,301.02,316.84,299.15,313.95,11743511,301.02,316.84,299.15,313.95,11743511,0.0,1.0,1
2018-10-03,294.8,304.6,291.57,303.33,7994988,294.8,304.6,291.57,303.33,7994988,0.0,1.0,0
2018-10-04,281.83,294.0,277.67,293.95,9814212,281.83,294.0,277.67,293.95,9814212,0.0,1.0,1
2018-10-05,261.95,274.88,260.0,274.65,17944537,261.95,274.88,260.0,274.65,17944537,0.0,1.0,1
2018-10-08,250.56,267.7599,249.0,264.52,13472653,250.56,267.7599,249.0,264.52,13472653,0.0,1.0,1
2018-10-09,262.8,266.77,253.3,255.25,12060574,262.8,266.77,253.3,255.25,12060574,0.0,1.0,0
2018-10-10,256.88,265.51,247.77,264.61,12815278,256.88,265.51,247.77,264.61,12815278,0.0,1.0,0
2018-10-11,252.23,262.25,249.03,257.53,8167738,252.23,262.25,249.03,257.53,8167738,0.0,1.0,0
2018-10-12,258.78,261.99,252.01,261.0,7201404,258.78,261.99,252.01,261.0,7201404,0.0,1.0,0
2018-10-15,259.59,263.28,254.5367,259.06,6199965,259.59,263.28,254.5367,259.06,6199965,0.0,1.0,0
2018-10-16,276.59,277.375,262.24,265.7,9526401,276.59,277.375,262.24,265.7,9526401,0.0,1.0,1
2018-10-17,271.78,282.7,265.8032,282.4,8655542,271.78,282.7,265.8032,282.4,8655542,0.0,1.0,1
2018-10-18,263.91,271.0,263.0,269.29,5421184,263.91,271.0,263.0,269.29,5421184,0.0,1.0,0
2018-10-19,260.0,269.66,253.5,267.39,9375549,260.0,269.66,253.5,267.39,9375549,0.0,1.0,0
2018-10-22,260.95,261.86,252.59,260.68,5600260,260.95,261.86,252.59,260.68,5600260,0.0,1.0,0
2018-10-23,294.14,297.93,262.1,263.87,19027753,294.14,297.93,262.1,263.87,19027753,0.0,1.0,1
2018-10-24,288.5,304.44,285.73,301.05,20058258,288.5,304.44,285.73,301.05,20058258,0.0,1.0,1
2018-10-25,314.86,321.0,301.01,317.22,20840724,314.86,321.0,301.01,317.22,20840724,0.0,1.0,0
2018-10-26,330.9,339.9,306.65,308.25,27425520,330.9,339.9,306.65,308.25,27425520,0.0,1.0,1
2018-10-29,334.85,347.16,326.5,337.47,14486027,334.85,347.16,326.5,337.47,14486027,0.0,1.0,0
2018-10-30,329.9,337.8999,322.26,328.39,9126704,329.9,337.8999,322.26,328.39,9126704,0.0,1.0,0
2018-10-31,337.32,342.0,329.1,332.54,7624348,337.32,342.0,329.1,332.54,7624348,0.0,1.0,0
2018-11-01,344.28,347.84,334.725,338.26,8000132,344.28,347.84,334.725,338.26,8000132,0.0,1.0,0
2018-11-02,346.41,349.2,340.91,343.74,7807971,346.41,349.2,340.91,343.74,7807971,0.0,1.0,0
2018-11-05,341.4,343.955,330.14,340.5,7831048,341.4,343.955,330.14,340.5,7831048,0.0,1.0,0
2018-11-06,341.06,348.8,336.09,339.07,6762889,341.06,348.8,336.09,339.07,6762889,0.0,1.0,0
2018-11-07,348.16,351.18,340.8,343.34,7374522,348.16,351.18,340.8,343.34,7374522,0.0,1.0,0
2018-11-08,351.4,357.5755,348.44,348.5,7090674,351.4,357.5755,348.44,348.5,7090674,0.0,1.0,0
2018-11-09,350.51,354.0,345.23,349.0,5098846,350.51,354.0,345.23,349.0,5098846,0.0,1.0,0
2018-11-12,331.28,349.78,330.34,348.37,6941523,331.28,349.78,330.34,348.37,6941523,0.0,1.0,1
2018-11-13,338.73,344.7,332.2,333.16,5448597,338.73,344.7,332.2,333.16,5448597,0.0,1.0,0
2018-11-14,344.0,347.11,337.15,342.7,5040287,344.0,347.11,337.15,342.7,5040287,0.0,1.0,0
2018-11-15,348.44,348.58,339.04,342.33,4625719,348.44,348.58,339.04,342.33,4625719,0.0,1.0,0
2018-11-16,354.31,355.7,345.1201,345.19,7206191,354.31,355.7,345.1201,345.19,7206191,0.0,1.0,0
2018-11-19,353.47,366.75,352.88,356.34,9708871,353.47,366.75,352.88,356.34,9708871,0.0,1.0,0
2018-11-20,347.49,349.8,333.55,341.75,8004709,347.49,349.8,333.55,341.75,8004709,0.0,1.0,0
2018-11-21,338.19,353.1,337.3995,352.0,4686808,338.19,353.1,337.3995,352.0,4686808,0.0,1.0,1
2018-11-23,325.83,337.5,325.55,334.345,4202642,325.83,337.5,325.55,334.345,4202642,0.0,1.0,0
2018-11-26,346.0,346.22,325.0,325.0,7992141,346.0,346.22,325.0,325.0,7992141,0.0,1.0,1
2018-11-27,343.92,346.96,335.5,340.05,6358300,343.92,346.96,335.5,340.05,6358300,0.0,1.0,0
2018-11-28,347.87,348.28,342.21,345.99,4127578,347.87,348.28,342.21,345.99,4127578,0.0,1.0,0
2018-11-29,341.17,347.5,339.55,347.0,3080724,341.17,347.5,339.55,347.0,3080724,0.0,1.0,0
2018-11-30,350.48,351.6,338.2648,341.83,5628895,350.48,351.6,338.2648,341.83,5628895,0.0,1.0,0
2018-12-03,358.49,366.0,352.0,360.0,8306511,358.49,366.0,352.0,360.0,8306511,0.0,1.0,0
2018-12-04,359.7,368.68,352.0,356.05,8461945,359.7,368.68,352.0,356.05,8461945,0.0,1.0,0
2018-12-06,363.06,367.38,350.76,356.01,7842508,363.06,367.38,350.76,356.01,7842508,0.0,1.0,0
2018-12-07,357.965,379.49,357.65,369.0,11511177,357.965,379.49,357.65,369.0,11511177,0.0,1.0,0
2018-12-10,365.15,365.98,353.12,360.0,6613455,365.15,365.98,353.12,360.0,6613455,0.0,1.0,0
2018-12-11,366.76,372.1689,360.23,369.91,6308769,366.76,372.1689,360.23,369.91,6308769,0.0,1.0,0
2018-12-12,366.6,371.91,365.16,369.42,5027048,366.6,371.91,365.16,369.42,5027048,0.0,1.0,0
2018-12-13,376.79,377.44,366.75,370.15,7365854,376.79,377.44,366.75,370.15,7365854,0.0,1.0,0
2018-12-14,365.71,377.87,364.33,375.0,6337555,365.71,377.87,364.33,375.0,6337555,0.0,1.0,0
2018-12-17,348.42,365.7,343.88,362.0,7674008,348.42,365.7,343.88,362.0,7674008,0.0,1.0,1
2018-12-18,337.03,351.55,333.69,350.54,7099999,337.03,351.55,333.69,350.54,7099999,0.0,1.0,1
2018-12-19,332.97,347.01,329.74,337.6,8274181,332.97,347.01,329.74,337.6,8274181,0.0,1.0,0
2018-12-20,315.38,330.29,311.869,327.0535,9071858,315.38,330.29,311.869,327.0535,9071858,0.0,1.0,1
2018-12-21,319.77,323.47,312.44,317.4,8016801,319.77,323.47,312.44,317.4,8016801,0.0,1.0,0
2018-12-24,295.39,314.5,295.195,313.5,5559913,295.39,314.5,295.195,313.5,5559913,0.0,1.0,1
